Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Government expenditure on education, total (% of government expenditure),Austria,AUT,10.5551500320435,10.583930015564,10.7891302108765,10.9884901046753,10.7023601531982,10.8725500106812,10.4133100509644
Government expenditure on education, total (% of government expenditure),Belgium,BEL,12.513090133667,11.8478803634644,12.0143899917603,11.714879989624,0.1,11.9073400497437,11.9583501815796
Government expenditure on education, total (% of government expenditure),Czech Republic,CZE,9.34463977813721,9.58393001556396,9.48040962219238,9.92718029022217,9.55685043334961,9.60243988037109,9.45779991149902
Government expenditure on education, total (% of government expenditure),Denmark,DNK,14.8302602767944,14.9441699981689,15.1033401489258,15.0362596511841,12.4887104034424,15.2174396514893,13.8280801773071
Government expenditure on education, total (% of government expenditure),Finland,FIN,12.1154003143311,11.8433198928833,11.9454898834229,11.9188804626465,12.7972898483276,12.4455099105835,12.3182802200317
Government expenditure on education, total (% of government expenditure),France,FRA,10.2736101150513,10.1098804473877,10.0691299438477,9.86394023895264,9.60978031158447,9.66187953948975,9.66250038146973
Government expenditure on education, total (% of government expenditure),Germany,DEU,10.119930267334,10.2582397460938,10.3981103897095,10.7533102035522,11.1372995376587,11.043080329895,11.1336402893066
Government expenditure on education, total (% of government expenditure),Greece,GRC,0.1,0.1,0.1,0.1,0.1,0.1,0
Government expenditure on education, total (% of government expenditure),Iceland,ISL,13.033260345459,15.1602401733398,14.6039695739746,15.4171199798584,17.3314304351807,17.6694202423096,0
Government expenditure on education, total (% of government expenditure),Ireland,IRL,13.0223703384399,13.0525999069214,9.28435039520264,12.5717601776123,13.7144298553467,13.3447904586792,13.0079298019409
Government expenditure on education, total (% of government expenditure),Italy,ITA,9.20516967773438,8.8671703338623,8.72395038604736,8.39237976074219,0.1,8.1595401763916,8.00669002532959
Government expenditure on education, total (% of government expenditure),Latvia,LVA,14.7630996704102,13.0251398086548,11.8090295791626,12.7153100967407,17.7365493774414,18.7440204620361,13.9723701477051
Government expenditure on education, total (% of government expenditure),Luxembourg,LUX,0.1,0.1,0.1,0.1,9.28219032287598,0.1,9.56604957580566
Government expenditure on education, total (% of government expenditure),Netherlands,NLD,11.6920204162598,11.4106502532959,11.542929649353,11.7650098800659,11.6266202926636,12.0861101150513,11.9754295349121
Government expenditure on education, total (% of government expenditure),Poland,POL,11.4063596725464,11.1028699874878,11.0646495819092,10.9865703582764,11.2325801849365,11.5999298095703,11.6255598068237
Government expenditure on education, total (% of government expenditure),Portugal,PRT,10.3718299865723,11.0748100280762,10.4265604019165,10.2392301559448,10.1930303573608,10.5684795379639,9.89673042297363
Government expenditure on education, total (% of government expenditure),Romania,ROU,0.1,11.0212898254395,9.12913036346436,8.33493041992188,8.43579006195068,0.1,9.23571968078613
Government expenditure on education, total (% of government expenditure),Slovenia,SVN,12.5490398406982,12.3041801452637,12.080189704895,12.0716800689697,12.6318397521973,9.99503993988037,11.2743196487427
Government expenditure on education, total (% of government expenditure),Spain,ESP,10.9386701583862,10.6355199813843,10.5639801025391,10.625280380249,9.21535968780518,9.497389793396,9.54004955291748
Government expenditure on education, total (% of government expenditure),Sweden,SWE,12.94225025177,13.1633100509644,13.1990995407104,13.0883703231812,15.1167297363281,15.023980140686,15.2036800384521
Government expenditure on education, total (% of government expenditure),United Kingdom,GBR,12.954930305481,12.6250696182251,13.053279876709,12.7129201889038,0.1,12.9236297607422,13.6640300750732
Government expenditure on education, total (% of government expenditure),Hungary,HUN,10.2705602645874,9.8643798828125,9.68552017211914,9.30432033538818,0.1,8.55436038970947,9.50568008422852
Government expenditure on education, total (% of government expenditure),Bulgaria,BGR,12.6122598648071,12.6567497253418,11.1634197235107,11.1000499725342,10.6909198760986,11.4398002624512,0
Government expenditure on education, total (% of government expenditure),Croatia,HRV,9.54932022094727,9.22725963592529,8.95827960968018,8.51583957672119,0.1,9.49458980560303,0
Government expenditure on education, total (% of government expenditure),Cyprus,CYP,17.5907497406006,17.2012500762939,15.7348003387451,15.5815801620483,0.1,15.4659900665283,15.5337800979614
Government expenditure on education, total (% of government expenditure),Estonia,EST,14.1512699127197,13.4590301513672,13.6427898406982,13.4062004089355,11.9912004470825,12.5843496322632,14.2566299438477
Government expenditure on education, total (% of government expenditure),Lithuania,LTU,13.052960395813,12.7776098251343,12.8588199615479,12.336350440979,13.5359697341919,13.2880201339722,13.1901397705078
Government expenditure on education, total (% of government expenditure),Malta,MLT,13.0606803894043,12.3449401855469,15.7076196670532,18.898099899292,15.2416496276855,18.7693500518799,17.5227298736572
Government expenditure on education, total (% of government expenditure),Slovak Republic,SVK,9.54788970947266,9.09838008880615,9.7661600112915,9.70746994018555,9.62131023406982,9.86131000518799,10.0875301361084
